epoch,train_loss,val_loss,val_accuracy,test_accuracy
1,2.822457015514374,2.41945281624794,0.49019607843137253,0.8047493403693932
2,2.3282443351215787,2.1543491929769516,0.49019607843137253,0.8047493403693932
3,2.1371506916152105,2.023779422044754,0.49019607843137253,0.8047493403693932
4,2.011810916993353,1.9580767899751663,0.49019607843137253,0.8047493403693932
5,1.9154515614112217,1.8928487747907639,0.49019607843137253,0.8047493403693932
6,1.8435833487245772,1.8462368845939636,0.49019607843137253,0.8047493403693932
7,1.7855013973183103,1.8085305839776993,0.49019607843137253,0.8047493403693932
8,1.7326331718100443,1.773776262998581,0.49019607843137253,0.8047493403693932
9,1.6863189140955608,1.768489494919777,0.49019607843137253,0.8047493403693932
10,1.6394783010085423,1.7395957708358765,0.49019607843137253,0.8047493403693932
11,1.6028350343306859,1.7523120194673538,0.49019607843137253,0.8047493403693932
12,1.5541412226027913,1.7194285690784454,0.49019607843137253,0.8047493403693932
13,1.5200704849428601,1.690499633550644,0.49019607843137253,0.8047493403693932
14,1.48526950346099,1.6748569756746292,0.49019607843137253,0.8047493403693932
15,1.4538509547710419,1.7038938701152802,0.49019607843137253,0.8047493403693932
16,1.4214671924710274,1.6880043894052505,0.49019607843137253,0.8047493403693932
17,1.3884927183389664,1.7122125029563904,0.49019607843137253,0.8047493403693932
18,1.3614483351508777,1.6685080528259277,0.49019607843137253,0.8047493403693932
19,1.328254217074977,1.6580635905265808,0.49019607843137253,0.8047493403693932
20,1.2988437198930316,1.6864738017320633,0.49019607843137253,0.8047493403693932
21,1.273017896546258,1.6750224232673645,0.49019607843137253,0.8047493403693932
22,1.2438787213630147,1.6829176247119904,0.49019607843137253,0.8047493403693932
23,1.2134896831379995,1.6958125084638596,0.49019607843137253,0.8047493403693932
24,1.1904008562366168,1.6744622588157654,0.49019607843137253,0.8047493403693932
25,1.1697328918510013,1.6825898736715317,0.49019607843137253,0.8047493403693932
26,1.1397380928198497,1.7039993107318878,0.49019607843137253,0.8047493403693932
